base_info,house_daxiao,house_direction,house_id,house_scale,price,time,title
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/8层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",80㎡,朝南,FZ2210804474459996160,2室2厅1卫,3900元,2019-03-12,正祥一品新筑 2室2厅 3900元
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/21层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",42㎡,朝北,FZ2211291493644648448,1室1厅1卫,3800元,2019-03-13,东二环泰禾广场一期 1室1厅 3800元
"基本信息,发布：15天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/5层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",220㎡,朝南,FZ2207706066161516544,6室2厅3卫,5600元,2019-03-08,冬馨苑 6室2厅 5600元
"基本信息,发布：12天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/11层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",90㎡,朝东南,FZ2210132625199472640,2室2厅2卫,4000元,2019-03-11,融信西班牙 2室2厅 4000元
"基本信息,发布：1天前,入住：随时入住, ,租期：1年以内,看房：需提前预约, ,楼层：中楼层/18层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",118㎡,朝南,FZ2217882414628749312,4室2厅2卫,1900元,2019-03-22,整租 · 贵安新天地贵阁苑 4室2厅 1900元
"基本信息,发布：3天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/34层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",110㎡,朝南,FZ2217109512555872256,3室2厅2卫,4100元,2019-03-21,红星苑 3室2厅 4100元
"基本信息,发布：1天前,入住：随时入住, ,租期：暂无数据,看房：一般下班后可看, ,楼层：中楼层/11层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",128㎡,朝南 北,FZ2217893917431971840,4室2厅2卫,4500元,2019-03-22,金山明星 4室2厅 4500元
"基本信息,发布：今天,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/7层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",107㎡,朝南 北,FZ2218836226142904320,3室2厅1卫,3800元,2019-03-23,冶金厅宿舍 3室2厅 3800元
"基本信息,发布：7天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/26层,电梯：无, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",141㎡,朝东 南,FZ2213554834001903616,3室2厅2卫,5500元,2019-03-16,中福西湖花园 3室2厅 5500元
"基本信息,发布：今天,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/25层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",33㎡,朝东南,FZ2218693889425154048,1室1厅1卫,1100元,2019-03-23,福晟钱隆学府 1室1厅 1100元
"基本信息,发布：8天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：未知/17层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",90㎡,朝南 北,FZ2213490924678823936,3室2厅1卫,视野宽阔,2019-03-16,中美小区3室2厅高楼层 视野宽阔
"基本信息,发布：1天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/8层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",110㎡,朝南 北,FZ2218553209189048320,3室2厅2卫,4000元,2019-03-23,鼓楼区西园二小区 3室2厅 4000元
"基本信息,发布：3天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",88㎡,朝南,FZ2217129973478080512,3室2厅2卫,2000元,2019-03-21,融侨宜家一期 3室2厅 2000元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/18层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",135㎡,朝南,FZ2215659202259722240,3室2厅2卫,4500元,2019-03-19,海润滨江花园B区 3室2厅 4500元
"基本信息,发布：6天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/25层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",105㎡,朝西南 北,FZ2214949230282817536,3室2厅2卫,105平,2019-03-18,博仕后新苑 3房2厅一厨2卫  105平
"基本信息,发布：22天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/6层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",110㎡,朝南 北,FZ2202731943387201536,3室2厅2卫,4000元,2019-03-01,东方纽约 3室2厅 4000元
"基本信息,发布：1个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/47层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",135㎡,朝南,FZ2194246760254685184,4室2厅2卫,7000元,2019-02-17,世欧王庄A区 4室2厅 7000元
"基本信息,发布：28天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",75㎡,朝东南,FZ2199007672689500160,2室2厅1卫,3500元,2019-02-24,世欧王庄四区 2室2厅 3500元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/27层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",75㎡,朝南,FZ2215071637739945984,2室1厅1卫,3800元,2019-03-18,世欧王庄十区 2室1厅 3800元
"基本信息,发布：3个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",115㎡,朝南,FZ2146291994945650688,3室2厅2卫,6300元,2018-12-13,保利香槟国际 3室2厅 6300元
"基本信息,发布：12天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/32层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",125㎡,朝南,FZ2210574479623454720,4室2厅2卫,4300元,2019-03-12,祥屿佳园 4室2厅 4300元
"基本信息,发布：20天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/30层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",120㎡,朝南 西 北,FZ2204093925809979392,4室0厅4卫,6000元,2019-03-03,紫阳新苑 4室0厅 6000元
"基本信息,发布：19天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/33层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",90㎡,朝东南 南,FZ2204932800543457280,3室2厅2卫,3500元,2019-03-04,三远佳园 3室2厅 3500元
"基本信息,发布：19天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/9层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",126㎡,朝南,FZ2204945290006904832,3室1厅1卫,4500元,2019-03-04,阳光城二区 3室1厅 4500元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/5层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",87㎡,朝南 北,FZ2215684395539636224,2室2厅1卫,2950元,2019-03-19,金山桔园嘉园 2室2厅 2950元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/18层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",92㎡,朝南,FZ2215226425282404352,3室1厅1卫,2500元,2019-03-18,永嘉天地 3室1厅 2500元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/6层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",111㎡,朝南,FZ2215062602395164672,3室2厅2卫,3900元,2019-03-18,泰禾红峪 3室2厅 3900元
"基本信息,发布：6天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/29层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",50㎡,朝南,FZ2214938135274455040,3室2厅2卫,3600元,2019-03-18,东方名城.温莎堡 3室2厅 3600元
"基本信息,发布：6天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/1层,电梯：无, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",35㎡,朝南 北,FZ2214332501717942272,1室1厅1卫,2000元,2019-03-17,归壹墅绿园 1室1厅 2000元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",20㎡,朝南,FZ2215665162944790528,1室0厅1卫,1550元,2019-03-19,保利香槟国际 1室0厅 1550元
"基本信息,发布：7天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/8层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",47㎡,朝南,FZ2214189108857667584,1室1厅1卫,2000元,2019-03-17,万事利花园 1室1厅 2000元
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/38层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",25㎡,朝东南,FZ2210742482017460224,1室1厅1卫,2400元,2019-03-12,保利香槟国际 1室1厅 2400元
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/27层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",15㎡,朝南,FZ2211270472312823808,1室0厅0卫,1200元,2019-03-13,世欧王庄九区 1室0厅 1200元
"基本信息,发布：7天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/32层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",40㎡,朝南,FZ2214237134452162560,1室1厅1卫,2800元,2019-03-17,保利香槟国际 1室1厅 2800元
"基本信息,发布：26天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/23层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",159㎡,朝东南,FZ2199814408627298304,4室1厅1卫,5500元,2019-02-25,海润滨江花园B区 4室1厅 5500元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/33层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",30㎡,朝南,FZ2215663714097971200,1室0厅1卫,2100元,2019-03-19,保利香槟国际 1室0厅 2100元
"基本信息,发布：8天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/31层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",46㎡,朝东 南,FZ2212986855329644544,2室0厅1卫,3000元,2019-03-15,紫阳新苑 2室0厅 3000元
"基本信息,发布：9天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",50㎡,朝南,FZ2212239182808481792,1室1厅1卫,3300元,2019-03-14,保利香槟国际 1室1厅 3300元
"基本信息,发布：13天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",25㎡,朝南,FZ2209852013846462464,1室0厅1卫,1900元,2019-03-11,保利香槟国际 1室0厅 1900元
"基本信息,发布：17天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/33层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",96㎡,朝南,FZ2206959728385327104,3室2厅2卫,2000元,2019-03-07,融侨宜家二期 3室2厅 2000元
"基本信息,发布：16天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/17层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",96㎡,朝东南,FZ2206387163593965568,3室2厅2卫,4800元,2019-03-07,阳光城新界 3室2厅 4800元
"基本信息,发布：14天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/46层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",157㎡,朝南,FZ2209135112460189696,3室2厅2卫,6300元,2019-03-10,闽江印象 3室2厅 6300元
"基本信息,发布：8天前,入住：随时入住, ,租期：暂无数据,看房：一般下班后可看, ,楼层：中楼层/5层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",87㎡,朝西南 北,FZ2212841687674527744,3室1厅1卫,3500元,2019-03-15,福建省机械工业厅住宅 3室1厅 3500元
"基本信息,发布：1天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/34层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",50㎡,朝东南,FZ2218572825127043072,1室1厅1卫,1499元,2019-03-23,红星国际晶品 1室1厅 1499元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/16层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",60㎡,朝南,FZ2160057068852084736,1室1厅1卫,3500元,2019-01-01,半山千叶 1室1厅 3500元
"基本信息,发布：1个月前,入住：随时入住, ,租期：1年以内,看房：需提前预约, ,楼层：低楼层/35层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",90㎡,朝南,FZ2197541217804763136,4室1厅1卫,4700元,2019-02-22,整租 · 世欧王庄四区 4室1厅 4700元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/27层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",114㎡,朝东 南 北,FZ2165151703014580224,4室2厅2卫,5500元,2019-01-08,香开新城东区 4室2厅 5500元
"基本信息,发布：4个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/11层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",118㎡,朝东南 南 北,FZ2119589918337671168,3室2厅2卫,3800元,2018-11-06,大景城 3室2厅 3800元
"基本信息,发布：3个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/10层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",110㎡,朝南,FZ2146163682176925696,3室1厅1卫,5000元,2018-12-13,大名城 3室1厅 5000元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/32层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",80㎡,朝南,FZ2170006124789768192,2室1厅1卫,5000元,2019-01-15,世欧王庄四区 2室1厅 5000元
"基本信息,发布：4个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/15层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",170㎡,朝东南,FZ2125295502470946816,4室2厅1卫,6500元,2018-11-14,福临东城 4室2厅 6500元
"基本信息,发布：19天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/5层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",135㎡,朝南,FZ2204951284103528448,3室2厅2卫,3500元,2019-03-04,水口苑 3室2厅 3500元
"基本信息,发布：28天前,入住：随时入住, ,租期：1年以内,看房：需提前预约, ,楼层：中楼层/6层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",150㎡,朝南,FZ2198388229395185664,4室2厅2卫,5500元,2019-02-23,整租 · 泰禾红峪 4室2厅 5500元
"基本信息,发布：3个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/28层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",111㎡,朝南 西南,FZ2146100927394742272,3室2厅2卫,4200元,2018-12-13,融信白宫 3室2厅 4200元
"基本信息,发布：1个月前,入住：随时入住, ,租期：1年以内,看房：需提前预约, ,楼层：中楼层/26层,电梯：有, ,车位：租用车位,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",88㎡,朝南 北,FZ2196911873654259712,3室2厅1卫,随时看房,2019-02-21,整租 · 4台空调 标准3房 电梯高层 设备齐 拎包住 随时看房
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/5层,电梯：无, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",106㎡,朝东南 北,FZ2175302228980531200,4室1厅1卫,3500元,2019-01-22,内九彩14号 4室1厅 3500元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/35层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",90㎡,朝南 北,FZ2160017247215820800,2室2厅1卫,4600元,2019-01-01,世欧王庄四区 2室2厅 4600元
"基本信息,发布：15天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/12层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",178㎡,朝东南,FZ2207881853912743936,4室2厅2卫,7500元,2019-03-08,半岛国际 4室2厅 7500元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：一般下班后可看, ,楼层：低楼层/21层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",60㎡,朝南,FZ2172385156264886272,1室1厅1卫,3600元,2019-01-18,东二环泰禾广场一期 1室1厅 3600元
"基本信息,发布：3个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/22层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",86㎡,朝北,FZ2150662568296333312,2室1厅1卫,6600元,2018-12-19,东二环泰禾广场一期 2室1厅 6600元
"基本信息,发布：1个月前,入住：随时入住, ,租期：暂无数据,看房：暂无数据, ,楼层：低楼层/22层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",63㎡,朝东,FZ2196138945937948672,1室1厅1卫,5300元,2019-02-20,东二环泰禾广场一期 1室1厅 5300元
"基本信息,发布：2个月前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/30层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",67㎡,朝南,FZ2156140289734492160,2室2厅1卫,4300元,2018-12-27,融侨悦城 2室2厅 4300元
"基本信息,发布：19天前,入住：随时入住, ,租期：暂无数据,看房：一般下班后可看, ,楼层：中楼层/17层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",43㎡,朝南,FZ2204913820051177472,1室1厅1卫,3500元,2019-03-04,东二环泰禾广场二期 1室1厅 3500元
"基本信息,发布：3个月前,入住：随时入住, ,租期：暂无数据,看房：暂无数据, ,楼层：中楼层/11层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",123㎡,朝南 北,FZ2152515215617966080,3室2厅2卫,3200元,2018-12-22,枫丹白鹭 3室2厅 3200元
